,content,uid
21,"
I just wanted to thank you for your continued work on the liquids desk with 
respect to the RAC issues we face.  Mike Mcconnell and I are committed to 
growing this business and making it extremely successful, and seamless.  Your 
input is valuable and it helps me quite a bit.

Jeff",0
22,"
As we continue with the India LNG issues, and grow the fundamentals research 
capabilities, I need a ""map of the world"" showing all LNG producers, and the 
specs of the product they produce, and all of the receiving terminals (demand 
side) in the world that match up with those specs of the producers.  (In a 
nutshell, what can go where)  Can I get this ASAP?  

Thanks  

Jeff",0
23,"
Hi  Thor, hope you are well.  I wanted to invite you personally to our 
offsite as someone who is a country manager in a region in which EGM does 
business.  Your insight into the region, and products will be helpful to our 
businesses.  

Thanks for your support.

Jeff",0
24,"
5 bedrooms for a millsky?


To: Jeffrey A Shankman/HOU/ECT@ECT
cc:  
Subject: Re:  

great man...we just lifted a new pad too this past weekend...Bunker Hill 
area...sweet

fletch

",0
25,"
Hey there.  how's it going?  I have a calculator for you that will show you 
how much your payments would be if you buy I house.  I'll show you how to use 
it--it's really easy.  ",0
26,"
yes, i've been in it for a month, and will have you guys over soon.  


To: Jeffrey A Shankman/HOU/ECT@ECT
cc:  
Subject: Re:  

Jeff,

Thanks for inviting me to be in the Round Table.  I think it'll be a 
success.  I'm able to make it to dinner tomorrow night for the Tiger Team 
deal.

Fletch

p.s.  did you close on your house yet?


",0
27,"
Could you also include the following to all presenters: 

Also, as part of your presentations, Mike and I would like each of you to 
identify 3 to 5 companies that we are not currently doing business, but 
should be.

(Sorry for the second email, Cathy)",0
28,"
Thanks for the updates.  They are great.  I have a question about 
confirmation process.  How many votes in the Senate are needed to confirm.  
The Dems are saying they may try to indefinitely delay hearings on Ashcroft.  
How so?",0
29,"
Thanks for participating in the first Traders' Roundtable.  If you have not 
read ""When Genius Failed"" by Roger Lowenstein about the rise and fall of Long 
Term Capital, I have copies--swing by and Jennifer will get you one.  It is a 
great read.  

You will get a memo this week about the next meeting.  

Jeff

P.S.  Phillip, no bid for the PAllen house.",0
30,"
Name 
Address

Dear ______,

As requested, please find the enclosed pictures showing the damage to the 
Peter Shire Teapot shipped to me from Historical Design in New York City.  I 
have retatined all original packing, the box, and the Fed Ex slip, as well as 
the piece itself if you need further information.  

I appreciate your speedy attention to this claim.  If I can be of further 
assistance, please call.  You may also reach Daniel Morris at Historical 
Design at (212) 593 4528 for more information as well.  

Regards",0
31,"
Howdy, how's it going today?",0
32,"
Sorry.  First one is the 16th.


To: Jeffrey A Shankman/HOU/ECT@ECT
cc:  
Subject: Re: Traders Roundtable  

Is that date right?


   
	
	
	From:  Jeffrey A Shankman                           12/01/2001 11:46
	

To: Phillip K Allen/HOU/ECT@ECT, John Arnold/HOU/ECT@ECT, Michael W 
Bradley/HOU/ECT@ECT, Jennifer Fraser/HOU/ECT@ECT, Mike Grigsby/HOU/ECT@ECT, 
Adam Gross/HOU/ECT@ECT, Rogers Herndon/HOU/ECT@ect, John J 
Lavorato/Corp/Enron@Enron, Kevin McGowan/Corp/Enron@ENRON, Vince J 
Kaminski/HOU/ECT@ECT, John L Nowlan/HOU/ECT@ECT, Kevin M Presto/HOU/ECT@ECT, 
Fletcher J Sturm/HOU/ECT@ECT, Hunter S Shively/HOU/ECT@ECT, Bill 
White/NA/Enron@Enron
cc: Jeffrey A Shankman/HOU/ECT@ECT, Gary Hickerson/HOU/ECT@ECT 
Subject: Traders Roundtable

As mentioned during the fourth quarter, Gary and I would like to begin 
regular meetings of our Trader's Roundtable.  The ideas generated from this 
group should be longer term trading opportunities for Enron covering the 
markets we manage.  In addition, this forum will provide for cross commodity 
education, insight into many areas of Enron's businesses, and promote 
aggressive ideas.  

Each week, we'll summarize commodity trading activity, and provide an open 
forum for discussion.  Your input is valuable, and we've limited this group 
to our most experienced traders, and would appreciate regular participation.  
Our first meeting will be Tuesday, January 9 at 4:00pm in EB3321.


Jeff & Gary




",0
33,"
As mentioned during the fourth quarter, Gary and I would like to begin 
regular meetings of our Trader's Roundtable.  The ideas generated from this 
group should be longer term trading opportunities for Enron covering the 
markets we manage.  In addition, this forum will provide for cross commodity 
education, insight into many areas of Enron's businesses, and promote 
aggressive ideas.  

Each week, we'll summarize commodity trading activity, and provide an open 
forum for discussion.  Your input is valuable, and we've limited this group 
to our most experienced traders, and would appreciate regular participation.  
Our first meeting will be Tuesday, January 9 at 4:00pm in EB3321.


Jeff & Gary",0
34,"
Cathy, can you send the following to everyone presenting at  the offsite

Please assess your hiring needs for 2001, and include that information in 
your 20 minute presentations.  Thanks.  Jeff",0
35,"
I have forwarded your info to both Philippe Bibi, CEO of Enron Networks--the 
group responsible for our Enron Online site, and to Ray Bowen, COO of Enron 
Industrial Markets--the group responsible for paper/pulp.  

Best Regards,

Jeff",0
36,"
I think I'm ready to make Ross a marketer.  What do you think?",0
37,"
I test drove Range Rovers Saturday--what do you think abour colors?  ",0
38,"
this reply email has 2 words too many.


To: Jeffrey A Shankman/HOU/ECT@ECT
cc:  
Subject: Re: USAEE ""Dialogue"" Supplement  

got it thanks

",0
39,"
I called Jeff Donahue for you regarding a rotation in EBS.  Let me know if 
you don't hear from him this week.   

See you.

Jeff",0
40,"
Schedule me out Jan 18, since my sister will be in town.  Also, what is this 
meeting, Tuesday Jan at 1 pm. Cross Commodity products?",0
41,"
Please schedule a meeting about the Dhabol LNG contracts with the following 
for wed or thurs.  Mark Haedicke, Mike Mcconnell (if avail), Vince Kaminski.  
Thanks.  Jeff",0
42,"
Thanks for all your help with Sempra.  Hard work, but certainly worth it.  On 
another note, Mike and I have discussed this $2 million issue with American 
Coal, and the interest rate hedge in the MPR.  Bottom line, we are not taking 
this hit.  It seems it was a problem with Treasury, so send it to them.  

Thanks. 

Jeff",0
43,"
What do you think of this:

As mentioned during the fourth quarter, Gary and I would like to begin 
regular meetings of our Trader's Roundtable.  The ideas generated from this 
group should be longer term trading opportunities for Enron covering most of 
the markets we manage.  In addition, this forum will provide for cross 
commodity education, insight into many areas of Enron's businesses, and 
promote aggressive ideas.  

Each week, we'll summarize commodity trading activity, and provide an open 
forum for discussion.  Your input is valuable, and we've limited this group 
to our most experienced traders, and would appreciate regular participation.  
Our first meeting will be Tuesday, January 9 at 4:00pm in room 3321.",0
44,"
As we begin our summer recruitment process, it is crucial that we continue to 
be aggressive in hiring all the best candidates.  As you know, Enron has 
committed over $1million during the next four years to University of 
Pennsylvania, and Wharton..  I want to make sure we don't limit ourselves in 
getting the Enron message out at Penn and Wharton by restriciting the number 
of summer employees.  I do not want to limit the number of people we hire for 
the summer.  In fact, I'd like to be as aggressive as possible.  I am 
operating under the notion that if we find 10 good people for which we have 
positions, we will offer all of them summer jobs.  I will not accept the 
notion of only 1 summer associate, and 1 or 2 summer ananlysts.

In addition, I'm concerned that the idea of giving associates $200 gift 
certificates is viewed as good one.  I'm not sure that is a good use of 
Enron's dollars, and would like to know what other events we are planning for 
the sell weekends.

Jeff",0
45,"
Please make sure there there is no P&L or position effect in the crude books 
with the new 24 hour EOL product.  Thanks. ",0
46,"
I'd like a schedule c (or any other schedule we have) update.  Also, how do 
we start to accrue for bonuses for 2001?",0
47,"
Did Jeff figure out finally that they stopped taping for the show ""Survivor"" 
a few months ago?",0
48,"
Starting tomorrow, Jan 3, the London Distillates book run by Ross Koller will 
have a max var position of  $1 million.   Chris, please take care of this 
with Ross.  

Thanks

Jeff ",0
49,"
The US/UK Arbitrage book, the Finland Arbitrage book, and the Products 
Arbitrage book in Singapore have been shut down, and no positions are 
authorized to go into those books going forward.  In addition, all positions 
in those books must be pulled out as of today, and I want them removed from 
the P&L reports I get.

Also, we need to set up a separate book for the 24 hour, 4 cent wide EOL 
crude market.  

Thanks. 

Jeff",0
50,"
What's up with the ads for the NY times, WSJ, and FT?  (Crude and product 
traders)

Jeff",0
51,"
Let's send our a memo to deal makers, book admins, and business heads to 
remind everyone what the process should be regarding desk notification of big 
transactions/cash flows.  Why don't you take a stab at writing a memo, send 
it back to me, and I'll review.  Let's try to get it out this week.

Thanks. ",0
52,"
give me a call when you get a chance so we can address your bonus.  thanks.   
Jeff",0
53,"
What is the opportunity to look at Elba Island space in conjunction with the 
Dhabol supply contract?  That is, could we go to our LNG suppliers for India, 
and regotiate that contract and provide space for diverted cargoes if 
necessary.  Jim Hughes is spending his time figuring out what to do with 
Dhabol and any suggestions we have may be helpful.  

Thanks. ",0
54,"
For the roundtable:

Gas:  John Arnold, Phillip Allen, Mike Grigsby, maybe Hunter Shively
Pwr:  Fletch Sturm, Rogers Hearndon, maybe Kevin Presto
Oil:  John Nowlan, Bill White, maybe Adam Gross
Coal/Emissions:  Kevin Mcgowan
Equities:  Gary Hickerson, Michael Bradley
Other:  Vince Kaminski, Jen Fraser

Have I left anyone off?  What do you think?",0
55,"
I have the book for you.  What is your location?  Are you crate training the 
pup?--I did and it is a great idea.  I have an extra crate if you need...they 
are pretty expensive so if you want you can have this one.....",0
56,"
How was the trip?  NY was great, but I got back so late, you wouldn't  
believe, I missed my flight to Jackson.  I was pissed.  ",0
57,"
Have a great holiday!
",0
58,"
FYI,

I bot 30 lots/month of propane from Adam May-Sept at 51 cents, also I bot 
30/month May -Sept Nat gas from Arnold, and a couple of contracts/mo of socal 
basis to close the position out.  Please get the fill from arnold for gas, 
and make sure it shows up in my position 
report.  thanks.  

Jeff",0
59,"
Larry Gagliardi has been with us for 6 months marketing EOL crude/products 
for 6 months and has signed up well over 50 customers according to Nowlan.  
He came from the crude and products broker TCT and knows the traders in the 
business.  He's our guy, and I want to expand his role in the group, as well.",0
60,"
How was bunko, or twister, is it?",0
61,"
My day has been a freak show....I'm sorry I missed the chanukah games--did 
you win all the gelt....which you will need if you are going to become a 
personal shopper...Have a great time tonight!

later",0
62,"
I just spoke with Matt Commons, and he is going to join enron, but didn't 
know of the additional sign on  (5k to 10k).  Also, he will be joining our 
finance area as his first rotation.  Thanks.  Jeff",0
63,"
Sorry it didn't work out between you and EGM, but I'm sure you made the right 
decision for you.  Best of luck.

Jeff",0
64,"
It doesn't seem my secluding myself from friends is helping my state of 
being.  I worked all weekend and played with the pups, but I'm not emailing 
you to tell you that.  Can I call you tonight?",0
65,"
How about the Lay's wednesday?",0
66,"
Love the new place!  Hopefully you kept warm last night!  (You didn't have to 
sleep in your car, did you?) (Or did you have to drink the champagne to keep 
from freezing?)   Unfortunately I won't know about the Lay's party until 
tomorrow.  Hopefully it will work out.  
My first party--first week in Feb--Ali's planning it.
Aren't I cooler than Kenneth's brother Mark?  Just checking.

Later

Jeff",0
67,"
After talking with the guys, Mark is going to make paul murray an offer at 
the director level with a one year contract, with a one year noncompete.  
I'll let you guys work on preliminary numbers.  thanks.  

Jeff",0
68,"
I saw you called on the cell this a.m.  Sorry I missed you.  (I was in the 
shower).  I have had a shitty week--I suspect my silence (not only to you, 
but others) after our phone call is a result of the week.  I'm seeing Glen at 
11:15....talk to you",0
69,"
Howdy stranger?  Can we please go out sometime.  I want to hear about all the 
latest details!!!!!

Jeff",0
70,"
Can you set up a meeting with Mike, me, Jeff Skilling, and Cliff, to talk 
about the international assets, and debt and equity trades around the 
assets?  Thanks.  Jeff",0
71,"
Expect a phone call from Goldman Sachs/Constellation about our wind company.  
They want to know the details of the sale process.

Thanks.  ",0
72,"
what  does this mean that the IOC did not give DPC an import license for 
Naptha?",0
73,"
Confidential

Draft

To:  All of Wholesale
From:  Office of the Chairman
Subject:  Organizational announcement

We are pleased to announce the following changes within EGM.

Financial Trading=20
The Convertible Bond Arbitrage desk will be moving from EnronCredit.com to=
=20
the Equity desk under Gary Hickerson, and will be managed by Mike Bradley. =
=20

Billy Lemmons has joined Gary Hickerson's group from EIM.  He is responsibl=
e=20
for examining and developing Enron=01,s agriculture business.  He is explor=
ing=20
the agriculture value chain and outlining our risk management and originati=
on=20
opportunities.

Transportation and Shipping
Dan Reck will be transitioning out of the coal group and will be exploring=
=20
our rail and trucking initiatives.  These markets together represent=20
approximately $105 billion notionally, and we believe there are many=20
synergies between our energy, coal, and freight trading businesses. =20

Enron is currently trading dry-freight (through EOL) and is a leading marke=
t=20
maker in this new product. This business is growing very quickly.  We have=
=20
asked Pierre Aury (and Scott Montcrief to co lead) our worldwide vessel=20
trading businesses.  Scott will be responsible for all liquids vessel=20
businesses and Pierre will manage all dry vessel businesses.  The LNG vesse=
l=20
business currently managed by Wayne Perry will remain in the LNG group, but=
=20
will also (report or coordinate with) into Pierre.
Weather
Our worldwide weather operations will continue to report to Mark Tawney in=
=20
Houston.  This business is also rapidly expanding which includes trading=20
weather products in 10 countries and 40 states in the US.  Mark will have a=
ll=20
V@R  allocation responsibility between Sydney, Tokyo, Oslo, and Houston.  I=
n=20
addition we will be forming a weather-marketing desk in London. =20

Crude and Products
Janelle Scheuer will be joining the Global Products from Enron America's Ea=
st=20
power origination group, and (will be) developing a mid-market business=20
specifically for our liquids businesses.  She will be reporting to John=20
Nowlan. =20

Bill White will be coming over from EBS and has responsibility for all U.S.=
=20
financial crude trading.  Don Schroeder will continue to have oversight and=
=20
lead our physical crude business.  (Mario De La Ossa has joined EGM from=20
Equiva and will manage our  product options book)

Doug Leach will be expanding his fuel management role and focussing on xxxx=
. =20
He will report directly to John Nowlan.
Finance and Structuring
Andrew Makk has joined the finance team from the Middle East area.  Most=20
recently he has been working on the Gaza project.

Jim Lewis has also joined this team. His last assignment was leading the=20
structuring group for Calme.

Both Andrew and Jim report to Larry Lawyer.
=20


(M&A)

(Mark Waddlinton has joined EGM and will be managing this activity and=20
coordinating with all Enron Corp. M&A business)

Please join us in congratulating everyone in their new roles.

File;  organization anon. dtd Dec 00 - EGM",0
74,"
Before we sign ANYTHING with Southern about the Elba volumes, I'd like an 
update.  Also I want to make sure we aren't trading anything away at Elba 
that we could be talking about elsewhere.  Thanks. 

Jeff",0
75,"
oh.................my...............god..............",0
76,"
When are you going to Israel?  How's life?  I have a friend who is going to 
be there in Feb?",0
77,"
Please print following on letterhead:

Larry Kellner
Chief Financial Officer
(put rest here)

Dear Larry,

Thanks for the opportunity to discuss your risk management needs yesterday.  
Continental has been very successful in hedging fuel, and I think we can add 
even more value as we explore your basis risks.  I've asked Mark Tawney, 
Director of Weather Risk Management, to come up with some ideas possibly 
linking weather to fuel, and explore our insurance and tax opportunities.  
His organization is the best in the industry, and is doing cutting edge 
research.  

We didn't have the chance to talk about any V@R analysis needs you have, but 
I'd be happy to get our research team involved as we grow our corporate 
relationship.  If there is anything else I can do, please call. 

It's great to have a the best airline in the country be the local carrier.  
Again thanks for your time.

Regards,

 ",0
78,"
I'll be out completely by Friday evening, and am finishing the list of 
workers who done various projects on the house, and will have that to you 
Friday as well via email.  I really appreciate your giving me the extra 
time....

Jeff",0
79,"
That glass of wine did the trick--I felt better  (more relaxed too!)  Dinner 
was boring--so I got home and had another glass of wine!  ",0
80,"
Hi Eric, hope you are well.  Do you know about this guy Nathan Hill that Clay 
Harris offered a job to work in dubai on dolphin?  Please let me know, he 
wants to get onl my calendar and hear about the LNG group, etc.

Jeff",0
81,"
Hi Sarah, 

What is your home address and work info....

Lots of hugs....",0
82,"
Please expect a call from Joe Hartsoe in the very near future.  His 
background lends itself to our businesses, and he is looking to add some 
commercial experience to his c.v.  Thanks for taking the time to meet with 
Joe.

Jeff",0
83,"
How about Ali ""the impaler"" Saler?  Or is that too dramatic?",0
84,"
Thanks for the email.  Actually, you are completely wrong about my view of 
Joe.  He has tremedous integrity, and is a very strong team builder, and has 
added much value to our organization.  I was however a little surprised by 
your move to go from a trading position to an analysis position.  I would 
have been thrilled to have you help me design a position for you in that kind 
of capacity here, or in london, or elsewhere if you liked.  In addition, I 
could have talked to you about a junior trading spot in crude and products.  
(Which I will remind you about frequently)

I'm sure your decision will prove valuable to Joe, and hopefully to you as 
well.  Mike and I would like to see you back on the A-team though--we both 
respect your business sense.

As far as the guilt thing goes, I can't help you.  I'm Jewish and our people 
have suffered much longer than everyone else combined.

Jeff ",0
85,"
WHERE are my macadamias?  Did you break the scales at the doctor?  Do you 
know how funny I am?  I'm finally leaving for the evening, and I'm so psyched 
to go home and play fetch with myself with the glow in the dark ball!  Have a 
great weekend if I don't talk to you during the hour I'll be here in the 
morn....

Hugs to Emma
",0
86,"
They are looking at trading advertising time.  Ed Ondarza may be the guy.  
I'd be happy to introduce you to him, if you'd like.

Jeff


To: Jeffrey A Shankman/HOU/ECT@ECT
cc:  
Subject: hey

okay-i have a question-have you heard anything about a new group in Broadband 
that will be trading commercial air time?
I believe it involves Edward Andarza and some other guy named Ben Freeman. I 
thought it might be of interest to someone with 
a communications background, that purchased television air time.....

thanks-Kim


",0
87,"
You know, we've done something the last few tuesdays, and it is now my 
favorite day of the week!  I had a great time.  ",0
88,"
Was that you walking in this morn when I was?  How's everything?",0
89,"
I have McKinsey sending over another Glass Market presentation, and you 
should have it shortly....

Jeff",0
90,"
Hey, I'll be around this weekend, trying to get myself together.  I can't 
tell you how overwhelmed I've felt recently, and I think our conversation 
while I was awol (in NY for the day last weekend) really got to me.  I'll 
tell you this weekend about my meeting with my the shrink the other day.  
(The part where I'm NOT good at compartmentalizing).  I think that threw me 
for a loop too.  Oh, your message got to me this morn.  Please don't ever 
think you are bothering me.  I guess I'm a little less mature about my 
emotions than I thought.  (I know this is all personal, but email seems to be 
a little easier for me to communicate this to you right now).  I'm not sure 
that my home number is on yet, so the cell phone is where I'll be.  Thanks 
for checking up on me.",0
91,"
We are pleased to announce the following within EGM:

The Convertible Bond Arbitrage desk will be moving from EnronCredit.com to 
the Equity desk under Gary Hickerson, and will be managed by Mike Bradley.  
Billy Lemmons has joined Gary Hickerson's unit as well.  He is exploring the 
agriculture value chain and outlining our risk management, (What else here?)

Dan Reck will be transitioning out of the coal group and will be exploring 
our rail and trucking initiatives.  These markets together represent 
approximately $105 billion notionally, and we believe there are many 
synergies between our energy, coal, and freight trading businesses.  In 
addition, we have asked (Pierre Aury to run our worldwide vessel trading 
businesses.  Scott Moncrief will be responsible for all liquids vessel 
businesses reporting to Pierre)  (should we mention cement here under george 
mclellan?)

Our worldwide weather operations will continue to report to Mark Tawney in 
Houston, and he will have all V@R  allocation responsibility between Sydney, 
Tokyo, Oslo, and Houston.  In addition we will be forming a weather marketing 
desk in London.

Janelle Scheuer will be joining the Global Products from Enron America's East 
power origination group, and is responsible for developing a mid-market 
business specifically for our liquids businesses.  She will be reporting to 
John Nowlan.  Bill White will be coming over from EBS and has responsiblity 
for all U.S. financial crude trading.  Don Schroeder will continue to have 
oversight of our physical crude business.  

Anything else?",0
92,"
Let's get together and get this traders' roundtable going.  I propose:  You, 
me Lavo (if he's interested), Vince K, John Arnold, Phillip Allen, Mike 
Grigsby, (those three from US gas), Rogers Hearndon, and Fletch Sturm (East 
Power), Mike Bradley, John Nowlan,.  This list covers gas, power, 
crude/products, rates, and vince's economic views.  Any other 
people/groups/commodities we should have represented?

Jeff",0
93,"
How's it going?  I'm sure busy and great.  Good luck with the ice men--I 
still think you should cut something.  I'm excited to finish unpacking this 
weekend, and just relaxing a little.  If you're not completely wiped on 
sunday, give me a ring.  Oh, could you wear your new party pants tuesday to 
my house?  Great, thanks. 
Have fun!

Jeff",0
94,"
Hi guys,

Shawn Cumberlan, the former head of the CALME region, is very interested in 
learning about the transportation businesses we are pursuing.  He will be in 
London end of next week or so and I'd like you guys to spend some time with 
him.  

Dan, expect a call from him before he heads to London.  Mark Frevert is 
having him explore opportunities within the wholesale businesses.

Later,

Jeff",0
95,"
I had so much fun last night!  WHEN can we do it again?",0
96,"
I'm not happy today.  Going back to last night, I got home, fell asleep on 
the couch in the new house, went upstairs at 4, and slept til 830.  Late all 
day, and just had a pretty crappy meeting with one of my direct reports and 
Jeff Skilling.  I can't describe the weight of the world feeling I have, and 
I'm not good at not being in control.  I wish I had the answers.

How are you?",0
97,"
How's it going?",0
98,"
tried, but no can do.  call me, though.  




""Rosenberg, Loren"" <Loren.Rosenberg@SouthernEnergy.Com> on 11/27/2000 
10:27:35 AM
To: ""'jeff.shankman@enron.com'"" <jeff.shankman@enron.com>
cc:  
Subject: 


Jeff:
Any chance you can hook me up through your friend with 4 Saturday Night Live
tickets for Dec. 2?  I'm surprising Samantha with a trip to New York that
weekend.  (She's never been, and I have decided to stop being the shame of
my family for not taking her).

Loren Rosenberg
Southern Company Energy Marketing
Loren.Rosenberg@SouthernEnergy.com
Voice 678-579-3391
Cell 678-488-5882
Fax 678-579-5843


",0
99,"
Hey, I understand the trading rotation program is underway.  I'd like an 
update next week so we can participate as well.

Happy Thanksgiving, or the Canadian equivalent.

Jeff",0
100,"
I've asked craig breslau on the gas floor--a senior marketer (VP) who is well 
versed in this to give the lunch.  Pete De Leeuw was happy a senior Enron 
person could get there on short notice.  

Regards

Jeff",0
101,"
Hi guys.  

I wanted to let you know that I am extremely concerned about the 
Associate/Analyst program, so much so that I feel all the work I have done, 
and all the time I have spent on the program has had little impact outside 
Wharton/Penn recruiting.  In fact we won't get more than 1 associate from 
Wharton this year for a variety of internal and external reasons.  This 
program has brought incredible talent into the organization, but we have lost 
a lot of momentum over the last two years.

In as much as I would like to continue to support the program, I can't  in 
its current form, and don't have time to fix what I thought we had been 
addressing.  The entire program is disfunctional, and the commercial teams 
are not lending support to the program.  I'd be very happy to spend a few 
minutes of your time (rather than blather on in an email) to give you both my 
overview of the program, and suggest changes and improvements.  

You know you have my support, but the current state of affairs down there has 
gotten me to my rope's end with the program.",0
102,"
I'm writing from houston (TX) and I cannot find anyone here who shows your 
furniture.  Can you direct me to some one in this part of the country?  I 
have large outdoor spaces that I'd like to furnish with Brown Jordan.  

Thanks for your help.

Jeff",0
103,"
I've taken a look at Bobby Brown's resume and would like some additional 
info.  What does he want to do?  What does he know about us? etc. Thanks.  
Jeff",0
104,"
To be clear, those employees in Oslo and elsewhere that spend 100% of their 
time in our businesses will be part of our PRC process.  Thanks.",0
105,"
Please select your reviewers throught the PEP on line system.  If you need 
help doing so, please contact Shanna Funkhouser.  Thanks.  ",0
106,"
Hi, hope things are well.  I'd like to talk about LNG trading vessels  
(merchant).  Have you been  talking with Pierre about all of this activity.   
George Mclellan is concerned about the exmar contract, and wants Pierre more 
involved with the business.  What do you think of this idea?  What are some 
of your thoughts regarding this business.  

Jeff",0
107,"
Any updates on the Gdansk refinery, or should I assume that the deal is dead?

Jeff",0
108,"
The reason for the memo before was because the India guys still don't 
understand.  Hopefully this clears up their ideas about a separate marketing 
and trading shop in India.  

Have you had time to think about Russell Dyke?  

Jeff",0
109,"
George, I just saw the updated 4Q earnings outlook, and saw Jupiter, and 
British energy off the sheet.  Is Jupiter off because of the Massey problems 
you mentioned today.  What about British energy....

Jeff",0
110,"
Hi John

Things are heating up for year end keeping us all pretty busy.  As we go 
forward in many of our businesses, it's clear several need fine tuning.  One 
of which is weather worldwide.  Mark Tawney and I have spent quite a bit of 
time during the last several weeks working on a plan for next year and 
forward.  We've come to the conclusion that it will be most effective to add 
a London operation that will allow for quick and beneficial marketer 
interaction, immediate scalability, and more portfolio diversification.  I 
would structure the business around the continent with someone managing that 
portion of the operation, and continue to have Thor manage Scandinavia.  Mark 
and I will get together to structure the London based group and keep you 
advised.  

Mark has some great ideas, and I'd like to talk to you about this rather than 
go on in an email.  I'll give you a ring first thing in the morning.  

Best--

Jeff",0
111,"
I'm still getting all the reports too late.  I'd like a night clerk to put 
together the reports so that I have them by 7:30 am.  Thanks.   Jeff",0
112,"
Without knowing what subcommittees you are going to set up for the exec. 
committee members, I'll take the Analyst/Associate program.  We've been 
incredibly successful with Wharton/Penn , and I'd like to replicate our 
approach company wide.  I'm convinced with my help, we can do a world class 
job.  I'd be happy to give my thoughts on off cycle hiring, and other ways to 
improve the entire process (internal and external) around Enron.  

Thanks.   

Jeff",0
